applicant_id,age,monthly_income,credit_limit,existing_debt,employment_years,num_existing_loans,pay_1,pay_2,pay_3,pay_4,pay_5,pay_6,pay_7,pay_8,pay_9,pay_10,pay_11,pay_12
B00059,31,219605.0,574328.0,49146.0,1.2,0,-1,-1,-1,2,4,-1,4,3,-1,4,2,-1
B00060,68,170610.0,477461.0,275568.0,4.2,1,0,0,0,-1,0,0,-1,0,-1,0,0,2
B00061,24,26129.0,91492.0,51280.0,1.7,3,0,0,1,-1,0,-1,-1,4,3,2,-1,4
B00062,50,12497.0,63924.0,29171.0,4.0,1,3,-1,0,0,0,-1,0,-1,0,0,0,-1
B00063,23,32549.0,79933.0,22375.0,4.2,1,2,3,4,4,3,2,-1,-1,3,4,2,1
B00064,66,27528.0,135941.0,65133.0,0.7,1,2,4,3,2,0,2,3,1,4,3,1,0
B00065,53,65697.0,111575.0,96533.0,17.3,4,-1,0,-1,-1,-1,-1,0,0,0,-1,0,0
B00066,41,82139.0,241855.0,24092.0,15.5,1,-1,0,-1,0,-1,3,-1,0,4,-1,0,0
B00067,22,23386.0,59636.0,36955.0,2.4,0,-1,4,4,1,3,-1,1,2,3,1,3,0
B00068,21,19850.0,109016.0,56325.0,2.8,4,0,-1,-1,0,0,-1,0,-1,-1,0,0,0
B00069,69,26756.0,57980.0,42526.0,3.4,1,-1,-1,0,0,0,-1,-1,0,0,-1,0,-1
B00070,37,107135.0,241919.0,102170.0,4.6,4,0,2,1,0,0,-1,0,0,2,4,-1,0
B00071,34,29808.0,76224.0,31895.0,1.8,1,-1,0,0,0,-1,-1,0,-1,0,-1,0,0
B00072,59,29587.0,65559.0,6402.0,2.1,1,-1,-1,1,2,1,-1,-1,-1,-1,-1,2,0
B00073,24,90553.0,140176.0,63275.0,6.1,2,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1
B00074,63,30345.0,94406.0,75130.0,4.6,0,0,1,2,1,0,0,4,2,4,3,3,-1
B00075,22,38910.0,202506.0,17602.0,10.5,3,0,3,-1,3,0,-1,0,-1,0,0,-1,-1
B00076,65,43487.0,89021.0,50447.0,7.8,0,-1,0,0,0,3,0,0,0,0,0,0,-1
B00077,37,16609.0,50974.0,4226.0,11.1,1,0,-1,0,-1,1,3,2,0,0,-1,-1,-1
B00078,25,55895.0,200391.0,50464.0,2.9,0,0,-1,0,0,-1,-1,-1,-1,0,-1,0,-1
B00079,67,94061.0,355786.0,308348.0,5.2,2,3,4,4,3,2,2,2,2,3,1,3,1
B00080,36,82897.0,227222.0,85567.0,1.8,3,-1,0,3,4,4,4,3,2,2,2,0,0
B00081,63,32559.0,51277.0,25166.0,2.8,1,1,4,1,1,1,1,1,1,1,-1,-1,2
B00082,62,53768.0,318125.0,88692.0,5.4,4,0,-1,0,0,1,-1,-1,-1,-1,0,0,-1
B00083,30,101541.0,166543.0,77276.0,10.8,4,-1,-1,-1,-1,-1,2,0,0,0,1,0,0
B00084,28,45418.0,116762.0,25918.0,2.0,6,-1,0,-1,-1,-1,0,-1,0,-1,0,0,0
B00085,38,17136.0,49819.0,7507.0,10.8,3,3,4,1,4,4,2,3,3,-1,1,1,4
B00086,36,66569.0,284669.0,43082.0,20.2,3,-1,-1,0,-1,0,0,0,0,-1,-1,-1,0
B00087,65,81736.0,388586.0,316315.0,9.1,3,0,0,0,-1,-1,0,-1,0,3,-1,-1,-1
B00088,30,72365.0,376743.0,47272.0,7.8,0,0,-1,-1,-1,0,-1,0,-1,0,-1,-1,-1
B00089,62,25072.0,138776.0,73782.0,3.8,2,0,0,-1,-1,-1,0,0,-1,0,-1,-1,0
B00090,54,75291.0,445934.0,116418.0,4.3,1,4,0,0,1,-1,-1,-1,-1,0,-1,0,-1
B00091,22,36707.0,172066.0,71602.0,6.4,3,-1,-1,0,0,0,-1,0,0,0,0,0,0
B00092,61,31871.0,145237.0,27113.0,1.8,3,-1,0,0,-1,-1,-1,0,0,-1,-1,0,4
B00093,27,99908.0,385705.0,272524.0,9.5,4,0,-1,2,4,4,3,1,3,-1,3,4,2
B00094,34,32892.0,188195.0,61888.0,2.6,2,0,-1,0,0,0,0,2,4,1,0,-1,-1
B00095,42,25288.0,105379.0,56180.0,17.7,1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,-1
B00096,53,61650.0,328832.0,84111.0,4.1,3,-1,1,1,-1,0,-1,0,2,-1,-1,0,-1
B00097,40,14604.0,62550.0,40224.0,6.1,1,-1,0,0,4,0,-1,4,0,3,3,2,0
B00098,35,69453.0,129446.0,8634.0,7.5,2,-1,0,-1,3,4,4,1,-1,0,3,4,2
B00099,47,29187.0,169754.0,31056.0,8.1,2,1,2,-1,4,1,4,2,-1,-1,-1,3,3
B00100,28,26133.0,51005.0,4611.0,12.7,3,1,1,2,3,4,1,1,-1,4,2,2,4
B00101,48,44834.0,121871.0,4086.0,7.9,3,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1
B00102,57,41313.0,70358.0,11984.0,11.2,2,0,-1,-1,0,0,-1,0,0,0,0,-1,0
B00103,52,51109.0,172990.0,36530.0,1.4,6,-1,-1,3,3,4,3,0,2,2,4,1,4
B00104,35,96032.0,342810.0,173300.0,4.2,5,-1,0,0,-1,-1,0,-1,-1,0,0,1,-1
B00105,25,33081.0,66329.0,11505.0,4.7,2,-1,-1,-1,3,4,2,3,0,2,1,4,0
B00106,44,78998.0,342356.0,137559.0,5.3,0,0,0,4,-1,1,-1,0,-1,-1,0,4,1
B00107,29,65865.0,201921.0,74125.0,7.7,1,0,-1,0,0,-1,-1,0,0,-1,3,-1,-1
B00108,60,91042.0,178517.0,90659.0,10.8,2,-1,-1,2,1,-1,0,0,0,0,-1,0,3
B00109,47,32859.0,106097.0,48722.0,12.0,1,0,3,4,0,0,0,-1,-1,-1,-1,0,4
B00110,47,38405.0,196964.0,126263.0,4.7,1,0,2,0,3,4,1,4,4,3,2,4,-1
B00111,38,38688.0,61888.0,28632.0,4.2,2,0,0,0,0,-1,0,0,-1,0,4,-1,0
B00112,58,37175.0,101760.0,44202.0,5.8,2,0,0,0,0,0,3,-1,0,0,1,0,-1
B00113,58,27794.0,126737.0,37344.0,12.4,3,-1,-1,0,-1,0,4,0,-1,-1,3,-1,-1
B00114,23,56126.0,121211.0,14893.0,3.5,2,-1,0,0,0,0,-1,1,0,-1,-1,-1,-1
B00115,44,60431.0,127736.0,64277.0,5.9,4,0,0,2,-1,3,-1,1,-1,0,0,0,0
B00116,24,56006.0,109067.0,53334.0,15.1,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0
B00117,47,80117.0,240969.0,74504.0,11.4,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0
B00118,68,62529.0,225872.0,188151.0,6.2,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0
B00119,55,28334.0,123696.0,35712.0,16.2,1,0,0,-1,0,4,-1,3,0,4,-1,0,-1
B00120,32,42333.0,106892.0,22086.0,5.7,2,-1,0,0,0,-1,-1,-1,0,0,0,-1,0
B00121,38,69334.0,163559.0,95045.0,2.0,1,0,0,-1,-1,0,-1,0,0,0,0,0,0
B00122,28,44023.0,185760.0,95759.0,4.2,4,1,4,2,0,3,3,2,-1,1,0,-1,2
B00123,47,22032.0,125881.0,76055.0,5.0,3,-1,-1,0,-1,-1,0,-1,-1,0,0,0,-1
B00124,30,43580.0,110074.0,38372.0,7.6,7,-1,0,-1,-1,0,0,2,0,0,0,-1,0
B00125,69,54785.0,109954.0,46172.0,2.7,2,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
B00126,61,82361.0,351652.0,296707.0,3.5,3,-1,-1,-1,0,-1,0,-1,-1,-1,-1,3,3
B00127,66,83755.0,411042.0,267194.0,9.2,3,0,4,-1,0,3,3,3,1,-1,2,0,-1
B00128,26,46724.0,82005.0,13125.0,6.9,2,4,-1,-1,0,-1,4,3,4,-1,-1,0,-1
B00129,22,153748.0,616535.0,369622.0,7.5,2,-1,3,3,-1,1,0,4,1,3,2,0,4
B00130,28,17590.0,57205.0,18811.0,4.5,4,0,4,3,2,4,2,1,1,0,4,2,3
B00131,22,23158.0,76460.0,10521.0,7.7,0,-1,0,4,-1,0,2,0,0,-1,-1,-1,2
B00132,43,71865.0,162343.0,52553.0,3.9,0,0,0,0,0,0,-1,0,0,0,-1,0,0
B00133,22,40561.0,221420.0,100924.0,0.8,2,0,3,1,-1,-1,0,4,0,2,-1,4,1
B00134,42,44966.0,208039.0,65917.0,2.1,2,-1,1,2,4,3,1,4,4,-1,-1,0,-1
B00135,31,79538.0,188524.0,117940.0,5.6,2,0,0,-1,0,-1,2,2,0,0,-1,-1,-1
B00136,42,67133.0,330187.0,81975.0,4.6,0,0,0,3,3,0,1,3,1,0,3,3,1
B00137,65,63376.0,155835.0,50283.0,2.1,5,1,4,-1,-1,4,3,0,-1,0,-1,0,0
B00138,36,38431.0,105646.0,54837.0,8.6,1,0,-1,0,0,-1,-1,0,-1,-1,-1,0,0
B00139,51,83766.0,302566.0,41362.0,9.4,1,-1,-1,-1,0,0,-1,-1,0,0,-1,-1,0
B00140,22,38102.0,111736.0,59588.0,4.5,3,3,4,1,-1,3,2,2,1,1,1,-1,3
B00141,37,40347.0,209783.0,61806.0,3.6,3,-1,-1,2,1,-1,-1,1,2,-1,3,-1,0
B00142,26,52679.0,191234.0,96083.0,5.0,2,2,2,2,0,0,-1,-1,-1,1,-1,2,4
B00143,31,61326.0,182408.0,43202.0,5.1,1,-1,1,0,0,0,0,4,4,3,4,3,4
B00144,45,38422.0,128793.0,75134.0,13.1,2,0,-1,-1,0,3,-1,-1,0,0,0,-1,-1
B00145,37,63395.0,120736.0,13164.0,6.0,2,0,0,1,-1,2,3,4,4,4,-1,0,0
B00146,37,46490.0,171852.0,44330.0,1.2,3,1,3,2,3,3,2,1,1,4,1,2,4
B00147,62,87041.0,234324.0,154626.0,5.1,3,2,-1,0,4,4,0,-1,0,4,3,4,4
B00148,64,22852.0,92802.0,42310.0,4.4,2,0,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1
B00149,32,37123.0,61215.0,23063.0,4.2,0,0,-1,0,0,1,-1,3,3,4,3,0,-1
B00150,43,56350.0,326939.0,13315.0,2.6,2,0,0,-1,-1,2,0,0,3,-1,0,0,-1
B00151,64,74419.0,116673.0,40454.0,3.7,1,-1,4,4,2,1,4,0,-1,-1,3,0,2
B00152,39,41420.0,231152.0,82825.0,2.7,1,2,3,1,3,4,1,0,3,3,1,2,4
B00153,62,47981.0,216570.0,135182.0,1.7,2,0,0,0,0,0,0,2,0,3,0,-1,0
B00154,55,57339.0,129339.0,50414.0,3.0,3,0,0,0,0,0,-1,-1,0,0,0,-1,0
B00155,25,82590.0,261158.0,128121.0,6.7,2,3,2,0,-1,-1,-1,-1,-1,0,-1,-1,-1
B00156,42,83596.0,181688.0,24052.0,3.8,3,0,-1,0,0,0,-1,-1,0,3,-1,-1,-1
B00157,52,22413.0,119396.0,19504.0,3.4,2,0,-1,0,0,0,-1,0,-1,0,-1,0,-1
B00158,46,27618.0,67073.0,40036.0,5.6,3,-1,0,0,-1,0,0,2,-1,0,0,-1,-1
B00159,25,55491.0,271502.0,107988.0,5.4,1,-1,0,0,0,0,0,-1,0,-1,0,4,0
B00160,21,79349.0,274173.0,206993.0,7.1,2,0,-1,-1,0,-1,-1,0,1,-1,3,4,-1
B00161,34,27430.0,96649.0,5487.0,6.8,0,0,-1,-1,-1,3,0,-1,0,3,4,-1,-1
B00162,31,70908.0,306251.0,51497.0,10.1,1,-1,0,-1,-1,-1,-1,4,2,2,-1,2,0
B00163,33,68217.0,295106.0,16461.0,7.7,2,-1,0,2,-1,4,3,4,0,-1,-1,0,0
B00164,60,41691.0,241648.0,145687.0,1.1,0,1,2,3,0,-1,0,-1,-1,-1,0,0,0
B00165,50,65987.0,373814.0,171695.0,4.5,2,1,-1,-1,0,0,0,-1,3,0,2,2,1
B00166,48,64958.0,147762.0,22275.0,2.3,5,0,1,-1,0,-1,3,3,-1,0,-1,-1,-1
B00167,24,57840.0,323220.0,218387.0,4.8,1,4,3,3,0,3,4,1,-1,4,1,0,2
B00168,63,37062.0,188055.0,75355.0,9.8,4,-1,0,0,2,0,0,0,-1,0,-1,2,-1
B00169,25,49247.0,234807.0,116617.0,3.9,3,0,2,4,0,0,3,4,1,1,3,-1,1
B00170,28,41196.0,151650.0,46228.0,5.0,2,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,2
B00171,45,25779.0,51095.0,23172.0,4.5,2,2,3,3,-1,0,0,-1,0,1,-1,-1,-1
B00172,42,40993.0,67354.0,18051.0,1.3,6,-1,0,-1,-1,0,0,-1,3,1,3,-1,0
B00173,29,45770.0,235134.0,129982.0,4.1,2,0,0,1,-1,1,0,1,4,2,0,3,-1
B00174,32,65640.0,363633.0,189560.0,5.7,3,-1,-1,-1,0,0,-1,-1,-1,1,0,-1,-1
B00175,60,29156.0,171126.0,37700.0,6.4,3,0,0,0,-1,-1,-1,-1,0,0,-1,0,-1
B00176,25,41061.0,133262.0,67242.0,3.3,3,0,-1,-1,0,0,0,-1,0,0,0,0,-1
B00177,40,30411.0,73088.0,31510.0,8.8,2,0,3,4,3,4,2,4,3,1,2,4,2
B00178,46,37696.0,57954.0,5929.0,7.6,3,0,0,-1,-1,2,-1,-1,0,1,0,0,0
B00179,23,27025.0,70744.0,22702.0,2.5,0,-1,-1,2,-1,1,-1,-1,-1,0,-1,1,1
B00180,48,28241.0,152859.0,22361.0,2.9,3,-1,0,1,-1,-1,-1,1,2,3,2,1,-1
B00181,54,25011.0,51465.0,26695.0,0.2,1,4,4,4,2,2,-1,0,0,3,1,3,-1
B00182,67,47613.0,118963.0,43321.0,9.9,2,0,-1,0,0,-1,0,-1,-1,-1,-1,-1,0
B00183,41,53380.0,115014.0,28459.0,10.9,4,-1,0,0,0,0,0,0,0,-1,-1,0,-1
B00184,26,47893.0,125812.0,33491.0,4.1,2,0,0,-1,-1,0,-1,0,2,-1,0,-1,0
B00185,22,34777.0,162944.0,114153.0,9.0,2,4,1,0,-1,0,0,0,-1,3,0,4,4
B00186,23,40675.0,242243.0,93894.0,5.0,1,1,-1,0,0,-1,-1,0,0,2,1,0,0
B00187,46,68990.0,166378.0,86077.0,5.2,4,4,-1,4,-1,1,-1,-1,-1,0,-1,-1,0
B00188,57,53257.0,194204.0,124935.0,6.9,3,-1,0,-1,-1,-1,1,0,-1,0,1,-1,-1
B00189,52,26220.0,141340.0,46552.0,8.8,2,-1,0,0,1,0,-1,4,-1,0,0,0,-1
B00190,22,23791.0,110181.0,56624.0,0.4,2,-1,0,1,4,0,-1,3,2,0,-1,-1,-1
B00191,35,20674.0,80147.0,29267.0,16.2,1,4,1,2,4,4,2,1,2,-1,-1,3,4
B00192,56,43068.0,245242.0,9456.0,11.9,4,-1,-1,-1,0,2,4,1,-1,3,-1,1,3
B00193,65,62877.0,193899.0,36686.0,2.6,2,1,0,0,-1,-1,3,0,0,0,-1,-1,0
B00194,37,44204.0,127646.0,66732.0,0.5,0,2,4,-1,4,3,1,0,3,2,0,3,2
B00195,37,60031.0,248776.0,35229.0,5.2,4,4,2,1,-1,2,1,3,3,-1,3,1,1
B00196,34,43470.0,146741.0,49963.0,6.1,1,2,3,0,2,-1,1,2,2,4,-1,0,0
B00197,60,54533.0,227524.0,141390.0,3.2,1,0,3,0,2,3,3,1,-1,4,3,0,1
B00198,60,40731.0,113922.0,39933.0,2.9,0,-1,0,-1,-1,0,0,-1,-1,-1,0,0,0
B00199,59,44618.0,123146.0,28025.0,2.9,6,1,0,-1,0,0,0,0,-1,-1,3,0,0
B00200,69,39241.0,62775.0,40431.0,7.6,4,-1,2,0,-1,0,0,1,0,0,0,1,2
B00201,69,90354.0,456633.0,80248.0,9.9,2,0,-1,4,0,-1,-1,2,0,-1,4,4,0
B00202,53,63008.0,216040.0,69820.0,3.0,2,0,2,0,0,-1,0,-1,0,0,-1,0,-1
B00203,49,38463.0,155230.0,47306.0,4.1,4,0,4,4,2,4,-1,4,-1,3,4,-1,0
B00204,39,51948.0,208660.0,89263.0,9.5,2,2,2,2,-1,3,2,0,0,4,3,-1,-1
B00205,49,28859.0,70399.0,31660.0,6.9,2,0,4,1,4,2,-1,0,-1,3,1,0,0
B00206,59,25033.0,83053.0,24940.0,8.6,0,0,-1,-1,4,-1,-1,0,0,0,0,-1,4
B00207,38,49411.0,91949.0,27960.0,6.3,2,-1,2,4,2,0,4,0,0,-1,3,1,3
B00208,24,77440.0,308359.0,88021.0,4.0,2,4,-1,-1,-1,2,-1,0,0,4,3,4,0
B00209,56,47914.0,247766.0,97490.0,5.4,1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,3
B00210,39,37573.0,202161.0,56720.0,2.0,0,-1,-1,-1,0,0,-1,0,0,0,2,2,0
B00211,50,65818.0,371210.0,198549.0,2.0,3,2,3,0,2,4,3,1,2,-1,0,2,0
B00212,54,88184.0,294065.0,44281.0,12.5,1,-1,4,0,0,-1,0,-1,0,0,0,-1,0
B00213,37,47725.0,261326.0,11948.0,12.9,1,-1,-1,0,-1,-1,0,-1,0,0,0,0,-1
B00214,43,28238.0,46062.0,16778.0,2.8,3,-1,-1,-1,-1,0,-1,0,0,0,3,3,1
B00215,50,92608.0,145597.0,69357.0,17.1,3,0,-1,-1,1,4,-1,-1,-1,-1,3,2,2
B00216,51,42098.0,232910.0,113544.0,4.4,1,3,0,-1,2,0,3,0,-1,3,1,0,-1
B00217,33,39715.0,138060.0,76149.0,1.7,3,3,1,4,3,3,2,1,2,1,4,1,1
B00218,64,43656.0,73227.0,15562.0,1.1,2,1,0,-1,0,-1,-1,4,-1,0,0,0,0
B00219,44,84749.0,260732.0,13625.0,0.7,4,3,3,4,-1,0,0,2,-1,-1,-1,0,-1
B00220,56,68691.0,191495.0,33136.0,8.8,0,0,-1,0,0,-1,0,-1,-1,0,0,0,-1
B00221,56,35416.0,128988.0,50566.0,4.7,0,-1,0,-1,-1,0,0,-1,-1,0,-1,-1,0
B00222,34,20161.0,112454.0,28442.0,2.4,1,-1,-1,2,1,-1,0,-1,4,-1,-1,-1,3
B00223,29,23604.0,79877.0,9825.0,7.3,1,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,3
B00224,25,35754.0,174042.0,59192.0,4.8,1,-1,-1,0,3,2,0,2,1,3,3,1,3
B00225,57,51258.0,83383.0,46649.0,2.5,1,-1,-1,0,-1,0,-1,0,4,3,0,3,0
B00226,31,120056.0,620511.0,165818.0,5.4,1,0,-1,-1,-1,-1,0,1,-1,0,0,0,0
B00227,35,23136.0,97219.0,25567.0,1.4,4,0,1,2,4,2,-1,3,2,4,4,3,4
B00228,28,42328.0,76922.0,29915.0,1.1,2,0,-1,-1,2,3,0,2,0,-1,-1,3,1
B00229,66,48363.0,278107.0,67988.0,7.1,3,0,0,-1,0,-1,-1,0,0,0,1,-1,-1
B00230,45,48119.0,121843.0,26654.0,3.6,3,0,1,0,-1,0,0,0,-1,0,-1,0,0
B00231,46,49257.0,120118.0,65118.0,1.9,2,-1,-1,0,-1,-1,-1,0,0,0,0,0,0
B00232,27,44229.0,258434.0,109613.0,5.9,0,3,3,-1,3,2,-1,4,1,2,0,-1,0
B00233,50,30254.0,112540.0,55740.0,1.1,0,-1,-1,-1,0,0,-1,0,-1,-1,2,0,-1
B00234,22,56723.0,307765.0,20796.0,2.5,0,4,1,2,2,3,1,4,3,4,4,4,1
B00235,48,38920.0,126223.0,44231.0,10.8,3,0,4,3,1,-1,1,-1,-1,0,-1,4,0
B00236,26,32856.0,66361.0,48521.0,2.1,0,4,3,4,2,0,2,0,-1,0,2,0,0
B00237,27,66206.0,351453.0,74532.0,4.9,4,0,1,1,2,4,1,0,0,1,0,0,0
B00238,43,60000.0,342066.0,147287.0,4.9,2,0,0,1,0,1,3,0,-1,4,1,1,-1
B00239,25,37277.0,219177.0,163167.0,3.0,2,1,4,1,0,1,2,1,2,2,2,2,3
B00240,25,42145.0,120400.0,18939.0,9.2,3,-1,0,0,-1,0,0,-1,0,-1,0,0,0
B00241,62,52250.0,212364.0,34028.0,11.6,2,1,0,0,0,-1,-1,0,0,-1,-1,-1,-1
B00242,66,16057.0,24338.0,10888.0,3.5,1,-1,0,0,1,0,0,0,-1,2,0,0,0
B00243,49,39772.0,125498.0,78681.0,4.3,6,-1,0,0,0,2,0,-1,-1,4,3,4,-1
B00244,29,31344.0,57640.0,12848.0,4.6,5,-1,0,-1,3,-1,2,0,-1,-1,-1,1,3
B00245,33,46660.0,251247.0,36813.0,7.3,0,0,-1,-1,-1,0,-1,0,-1,-1,0,0,0
B00246,59,47078.0,216454.0,105527.0,6.5,0,2,1,0,2,4,2,1,3,2,4,4,2
B00247,40,45863.0,242330.0,75251.0,3.1,2,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0
B00248,23,16239.0,79840.0,35758.0,5.5,3,0,0,-1,-1,-1,-1,-1,1,1,2,0,0
B00249,59,58101.0,141497.0,59041.0,7.0,5,2,1,1,1,4,0,-1,0,1,4,3,1
B00250,47,57590.0,256139.0,86846.0,10.8,0,2,-1,-1,-1,-1,0,0,2,0,3,2,0
