applicant_id,age,monthly_income,credit_limit,existing_debt,employment_years,num_existing_loans,pay_1,pay_2,pay_3,pay_4,pay_5,pay_6,pay_7,pay_8,pay_9,pay_10,pay_11,pay_12
A019,25,84481.0,504018.0,263141.0,1.8,2,0,-1,0,0,1,3,4,2,2,2,4,3
A020,63,25512.0,103203.0,32109.0,10.6,3,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1
A021,44,45046.0,114609.0,43928.0,0.8,1,0,0,0,0,0,0,2,-1,2,2,-1,-1
A022,31,32303.0,168813.0,34544.0,5.8,2,0,-1,0,-1,0,-1,0,0,0,3,0,-1
A023,23,34267.0,195494.0,19133.0,1.9,0,0,0,-1,-1,0,0,-1,-1,0,0,0,-1
A024,69,104366.0,389877.0,188826.0,1.4,1,0,-1,4,0,1,3,4,4,3,4,3,0
A025,26,26228.0,123977.0,20896.0,2.6,2,-1,4,4,2,2,2,-1,2,3,3,3,4
A026,30,26856.0,106014.0,48973.0,1.1,2,2,1,2,2,2,4,1,3,2,4,1,1
A027,26,33774.0,54742.0,22176.0,1.0,1,-1,4,-1,4,2,-1,0,0,0,-1,0,2
A028,53,84040.0,338308.0,196287.0,4.4,3,1,0,0,0,0,-1,-1,-1,0,0,-1,3
A029,47,58130.0,287580.0,89396.0,1.9,0,-1,4,2,-1,-1,3,-1,3,3,4,2,0
A030,69,50818.0,122230.0,13401.0,6.4,2,0,0,4,0,1,0,0,-1,0,1,3,-1
A031,66,42096.0,70287.0,21421.0,11.3,4,-1,-1,0,-1,-1,0,-1,1,0,0,0,0
A032,61,41174.0,121802.0,66350.0,3.1,1,1,0,0,-1,4,3,1,0,2,-1,0,0
A033,55,49659.0,252631.0,166124.0,8.3,3,1,-1,0,-1,0,0,0,0,0,-1,0,-1
A034,57,23907.0,132968.0,54770.0,8.7,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0
A035,30,67784.0,379921.0,157616.0,4.2,2,-1,0,4,3,0,0,0,1,2,0,1,3
A036,62,38856.0,58761.0,47818.0,6.3,2,-1,3,0,2,3,3,-1,-1,3,1,4,-1
A037,68,27473.0,133081.0,70889.0,3.9,4,2,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0
A038,65,91502.0,525457.0,189087.0,7.9,1,0,0,-1,0,-1,0,2,0,0,0,0,0
A039,42,39087.0,213183.0,102166.0,4.3,2,3,2,0,-1,1,-1,0,4,2,4,3,4
A040,24,62293.0,367984.0,135255.0,1.7,3,0,-1,-1,-1,2,-1,0,0,0,-1,-1,0
A041,68,25411.0,96671.0,71986.0,2.5,1,0,0,0,-1,-1,0,4,0,0,-1,3,1
A042,52,28251.0,83109.0,27117.0,13.6,2,-1,0,-1,0,0,0,-1,1,0,-1,-1,0
A043,51,63389.0,324640.0,195235.0,2.7,1,-1,0,2,2,4,2,3,2,2,1,1,2
A044,37,45664.0,160868.0,112549.0,3.4,4,3,2,4,3,4,-1,-1,3,1,4,1,3
A045,32,31281.0,132055.0,60838.0,3.9,1,4,2,0,2,0,3,3,0,1,2,2,3
A046,64,54556.0,266323.0,54080.0,7.9,0,0,-1,-1,0,-1,1,-1,1,3,4,4,-1
A047,65,59499.0,150787.0,76319.0,1.4,3,-1,-1,-1,0,0,0,0,-1,-1,-1,0,0
A048,24,42349.0,232356.0,89839.0,3.8,3,-1,3,4,4,3,3,1,1,2,2,4,2
A049,62,34783.0,191479.0,63245.0,4.8,1,0,0,3,-1,-1,0,0,-1,-1,2,2,-1
A050,46,53664.0,167835.0,52923.0,4.2,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,-1
A051,46,31498.0,179437.0,95760.0,1.5,5,-1,3,0,-1,0,-1,-1,-1,0,0,-1,-1
A052,21,27624.0,132630.0,83352.0,8.2,3,2,4,4,3,-1,4,3,-1,4,1,2,3
A053,53,35802.0,176076.0,116169.0,5.6,2,-1,-1,-1,4,2,2,-1,-1,-1,0,0,3
A054,21,42037.0,74271.0,21279.0,3.3,2,0,2,0,0,-1,-1,-1,0,2,0,-1,-1
A055,32,41868.0,210717.0,157706.0,0.2,5,4,1,0,3,1,1,4,1,-1,4,2,-1
A056,56,95048.0,381518.0,190439.0,9.1,2,-1,-1,-1,-1,2,4,3,1,0,0,-1,2
A057,42,48817.0,228644.0,127771.0,6.4,5,-1,4,2,-1,0,1,-1,0,2,0,0,-1
A058,33,50965.0,130453.0,43218.0,10.8,4,0,0,-1,-1,0,-1,0,0,2,0,0,-1
A059,29,39022.0,187327.0,94308.0,5.0,0,-1,0,1,1,3,2,2,1,1,2,3,4
A060,69,17828.0,79605.0,24517.0,4.0,4,-1,0,-1,0,0,0,0,-1,0,-1,-1,-1
A061,66,77616.0,120881.0,48217.0,1.8,3,1,3,3,2,4,2,2,3,2,3,3,1
A062,69,61225.0,184587.0,29103.0,16.2,0,0,4,4,0,0,3,4,0,0,0,-1,0
A063,47,21443.0,40059.0,6478.0,3.7,1,-1,0,-1,4,-1,0,-1,0,-1,0,-1,-1
A064,38,20256.0,66473.0,20056.0,1.5,1,1,3,0,1,3,4,1,3,2,-1,0,0
A065,50,32946.0,98038.0,10950.0,2.2,2,0,-1,0,-1,0,0,-1,2,4,-1,-1,3
A066,38,19828.0,74018.0,24125.0,5.6,2,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1
A067,60,47421.0,138152.0,108567.0,2.0,2,1,2,4,1,4,4,2,4,4,4,3,0
A068,64,47424.0,239509.0,28053.0,7.1,1,0,0,-1,0,-1,0,0,0,0,-1,0,0
A069,33,32160.0,64171.0,20372.0,6.5,4,1,4,2,1,4,3,3,-1,-1,1,2,-1
A070,22,47991.0,263950.0,200120.0,7.6,1,0,0,-1,-1,0,-1,-1,-1,-1,0,0,0
A071,37,39981.0,199015.0,47644.0,3.1,2,0,0,-1,-1,1,0,-1,0,0,-1,2,-1
A072,23,61774.0,172166.0,117266.0,2.6,2,-1,-1,-1,0,-1,-1,0,0,0,-1,0,0
A073,55,37926.0,133230.0,120237.0,4.6,3,0,3,2,3,4,4,1,3,2,1,2,1
A074,69,36989.0,174119.0,60557.0,12.2,2,0,0,-1,0,0,0,0,0,-1,0,0,0
A075,48,36235.0,95225.0,20457.0,6.0,2,-1,3,0,-1,3,4,4,3,3,2,1,3
A076,50,49779.0,85885.0,3759.0,2.9,6,0,0,2,2,2,0,-1,1,4,2,1,4
A077,24,46429.0,275961.0,85411.0,4.3,4,0,0,-1,0,1,1,0,2,3,0,0,2
A078,24,41190.0,151115.0,25751.0,3.0,3,0,0,3,-1,0,-1,0,0,1,3,4,2
A079,31,76140.0,273279.0,147066.0,0.9,2,0,-1,-1,-1,-1,2,-1,-1,1,-1,-1,0
A080,66,46933.0,189735.0,144284.0,4.7,2,-1,-1,-1,0,0,-1,0,0,0,-1,0,0
A081,49,17390.0,56584.0,48048.0,2.5,0,0,-1,0,-1,0,-1,0,-1,3,-1,-1,-1
A082,66,42391.0,69607.0,12267.0,0.9,2,2,1,2,1,4,3,3,4,3,3,4,3
A083,69,55878.0,220124.0,48153.0,16.5,4,-1,0,0,2,1,2,4,2,3,3,3,3
A084,58,23642.0,112475.0,62672.0,17.0,0,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0
A085,42,53962.0,136509.0,54103.0,6.7,5,0,0,4,-1,-1,0,-1,3,1,4,-1,0
A086,67,23937.0,120950.0,26484.0,5.0,1,0,3,-1,0,4,0,1,4,1,-1,0,3
A087,69,72144.0,153751.0,82272.0,2.2,0,2,-1,-1,2,4,2,0,0,0,0,-1,-1
A088,53,28782.0,45007.0,17686.0,16.6,1,4,4,1,2,4,2,0,-1,-1,-1,3,1
A089,21,34370.0,190082.0,51850.0,0.8,2,1,1,1,3,4,2,1,2,0,2,1,4
A090,69,57659.0,88697.0,45646.0,5.6,0,0,0,4,0,0,3,3,1,-1,0,0,0
A091,25,24748.0,39268.0,28501.0,6.0,3,0,0,3,1,0,-1,-1,0,-1,2,0,-1
A092,31,33430.0,188048.0,25213.0,10.3,3,0,3,3,0,0,-1,0,0,-1,0,0,4
A093,51,50666.0,256891.0,110052.0,12.4,2,-1,0,-1,-1,0,0,0,-1,0,0,0,0
A094,65,68452.0,235926.0,71286.0,2.6,0,-1,0,2,0,-1,-1,0,-1,-1,-1,-1,-1
A095,48,27841.0,92775.0,12234.0,7.3,2,0,1,4,2,-1,2,-1,-1,-1,0,-1,-1
A096,48,43057.0,239452.0,173277.0,2.4,2,0,0,-1,-1,0,0,0,0,0,2,2,-1
A097,51,73454.0,189713.0,25627.0,2.6,2,0,-1,2,-1,-1,-1,-1,-1,4,0,0,-1
A098,41,53566.0,117797.0,33329.0,3.9,3,-1,4,2,0,-1,-1,-1,0,-1,4,2,1
A099,62,68301.0,295572.0,133242.0,0.4,2,2,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1
A100,64,49734.0,143636.0,49025.0,6.6,2,0,0,0,0,-1,-1,0,0,-1,0,-1,-1
